laptop_id,brand,model,old_price,current_price,discount_rate_percent,operational_system,graphics_type,integrated_graphics,gpu,cpu_brand,cpu_model,cpu_frequency,ram,memory_type,hdd_capacity,ssd_capacity,display_diagonal,resolution,video_standard,weight
169025,Lenovo,IdeaPad 3 15IGL05,,,,DOS,Integrated,Intel UHD Graphics 605,No,Intel,Pentium Silver,1.1,8,SSD,0.0,256.0,15.6,1920 x 1080,Full HD,1.5
168882,Lenovo,Yoga Slim 7 Pro 16ARH7,,,,Windows 11 Home (x64) SL,Both,AMD Radeon 660M,GeForce RTX 3050,AMD,Ryzen 5,3.3,16,SSD,0.0,512.0,16.0,2560 x 1600,WQXGA,2.1
168911,ASUS,"Zenbook Pro 16X UX7602ZM, OLED",1599990.0,1579990.0,1.25,Windows 11 Pro (x64),Both,Intel Iris Xe Graphics,GeForce RTX 3060,Intel,Core i9,2.5,32,SSD,0.0,1024.0,16.0,3840 x 2400,Ultra HD+,2.4
168909,HP,15s-eq1195ur,,,,DOS,Integrated,AMD Radeon Graphics,No,AMD,Ryzen 3,2.6,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.5
168908,HP,15s-eq1150ur,,,,DOS,Integrated,AMD Radeon Graphics,No,AMD,Ryzen 3,2.6,8,SSD,0.0,256.0,15.6,1920 x 1080,Full HD,1.5
168878,Lenovo,Legion S7 16IAH7,,,,DOS,Both,Intel Iris Xe Graphics,GeForce RTX 3070,Intel,Core i7,2.3,16,SSD,0.0,1024.0,16.0,2560 x 1600,WQXGA,2.2
168876,Lenovo,IdeaPad Gaming 3 16ARH7,,,,DOS,Both,AMD Radeon 680M,GeForce RTX 3050 Ti,AMD,Ryzen 7,3.2,16,SSD,0.0,1024.0,16.0,1920 x 1200,WUXGA,2.5
168874,Lenovo,IdeaPad Gaming 3 16IAH7,599990.0,579990.0,3.33,DOS,Both,Intel Iris Xe Graphics,GeForce RTX 3050 Ti,Intel,Core i7,2.3,16,SSD,0.0,1024.0,16.0,1920 x 1200,WUXGA,2.5
168875,Lenovo,Legion 5 15IAH7H,,,,DOS,Both,Intel Iris Xe Graphics,GeForce RTX 3070 Ti,Intel,Core i7,2.3,16,SSD,0.0,1024.0,15.6,2560 x 1440,QHD,2.5
168873,Lenovo,Legion 5 Pro 16IAH7H,,,,DOS,Both,Intel Iris Xe Graphics,GeForce RTX 3070 Ti,Intel,Core i7,2.3,16,SSD,0.0,1024.0,16.0,2560 x 1600,WQXGA,2.5
168872,Lenovo,IdeaPad Gaming 3 16IAH7,,,,Windows 11 Home (x64) SL,Both,Intel Iris Xe Graphics,GeForce RTX 3050 Ti,Intel,Core i5,2.5,8,SSD,0.0,512.0,16.0,1920 x 1200,WUXGA,2.5
168868,Lenovo,IdeaPad 5 Pro 16ARH7,,,,DOS,Both,Intel Iris Xe Graphics,Intel Arc A370M,Intel,Core i5,2.5,16,SSD,0.0,1024.0,16.0,2560 x 1600,WQXGA,2.0
168865,Lenovo,IdeaPad 5 Pro 16ARH7,,,,DOS,Integrated,AMD Radeon 660M,No,AMD,Ryzen 5,3.3,16,SSD,0.0,512.0,16.0,2560 x 1600,WQXGA,2.0
168884,Lenovo,IdeaPad Gaming 3 15IHU6,,,,DOS,Both,Intel Iris Xe Graphics,GeForce GTX 1650,Intel,Core i5,3.2,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,2.0
168867,Lenovo,IdeaPad 5 Pro 16ARH7,,,,DOS,Both,AMD Radeon 660M,GeForce RTX 3050,AMD,Ryzen 5,3.3,16,SSD,0.0,512.0,16.0,2560 x 1600,WQXGA,2.0
168883,Lenovo,IdeaPad 3 15IAU7,,,,DOS,Integrated,Intel Iris Xe Graphics,No,Intel,Core i5,1.3,16,SSD,0.0,256.0,15.6,1920 x 1080,Full HD,1.6
168866,Lenovo,IdeaPad 5 Pro 16ARH7,,,,Windows 11 Home (x64) SL,Integrated,AMD Radeon 680M,No,AMD,Ryzen 7,3.2,16,SSD,0.0,512.0,16.0,2560 x 1600,WQXGA,2.0
168869,Lenovo,IdeaPad 5 Pro 16ARH7,,,,Windows 11 Home (x64) SL,Both,AMD Radeon 680M,GeForce RTX 3050,AMD,Ryzen 7,3.2,16,SSD,0.0,512.0,16.0,2560 x 1600,WQXGA,2.0
